emp_no,first_name,last_name,dept_name
10001,Georgi,Facello,Development
10004,Chirstian,Koblick,Production
10005,Kyoichi,Maliniak,Human Resources
10006,Anneke,Preusig,Development
10009,Sumant,Peac,Quality Management
10018,Kazuhide,Peha,Production
10018,Kazuhide,Peha,Development
10019,Lillian,Haddadi,Research
10020,Mayuko,Warwick,Production
10022,Shahaf,Famili,Development
10023,Bojan,Montemayor,Development
10026,Yongqiao,Berztiss,Production
10035,Alain,Chappelet,Production
10047,Zvonko,Nyanchama,Production
10051,Hidefumi,Caine,Production
10053,Sanjiv,Zschoche,Sales
10057,Ebbe,Callaway,Development
10058,Berhard,McFarlin,Marketing
10059,Alejandro,McAlpine,Finance
10063,Gino,Leonhardt,Production
10066,Kwee,Schusler,Development
10067,Claudi,Stavenow,Quality Management
10070,Reuven,Garigliano,Research
10070,Reuven,Garigliano,Development
10072,Hironoby,Sidou,Development
10074,Mokhtar,Bernatsky,Development
10076,Erez,Ritzmann,Development
10088,Jungsoon,Syrzycki,Sales
10088,Jungsoon,Syrzycki,Customer Service
10091,Amabile,Gomatam,Development
10096,Jayson,Mandell,Production
10097,Remzi,Waschkowski,Research
10100,Hironobu,Haraldson,Human Resources
10103,Akemi,Birch,Development
10106,Eben,Aingworth,Production
10126,Kayoko,Valtorta,Customer Service
10127,Subir,Baja,Development
10129,Armond,Peir,Development
10130,Nishit,Casperson,Production
10134,Diederik,Siprelle,Production
10134,Diederik,Siprelle,Development
10138,Perry,Shimshoni,Quality Management
10150,Zhenbing,Perng,Development
10153,Heekeun,Majewski,Development
10157,Nigel,Aloisi,Development
10159,Serif,Buescher,Quality Management
10160,Debatosh,Khasidashvili,Sales
10163,Karsten,Szmurlo,Human Resources
10166,Samphel,Siegrist,Development
10183,Mechthild,Bonifati,Customer Service
10194,Josyula,Hofmeyr,Finance
10196,Marc,Hellwagner,Finance
10198,Pranav,Furedi,Development
10203,Steen,Escriba,Research
10205,Mabhin,Leijenhorst,Production
10207,Girolamo,Anandan,Development
10215,Xiaobin,Duclos,Sales
10219,Genta,Kolvik,Customer Service
10219,Genta,Kolvik,Development
10224,Leon,Trogemann,Production
10228,Karoline,Cesareni,Sales
10228,Karoline,Cesareni,Marketing
10230,Clyde,Vernadat,Research
10233,Lein,Vendrig,Human Resources
10239,Nikolaos,Llado,Marketing
10240,Remko,Maccarone,Quality Management
10248,Frederique,Tempesti,Sales
10249,Marie,Boreale,Research
10249,Marie,Boreale,Development
10258,Basil,Ishibashi,Development
10262,Mahendra,Maraist,Sales
10272,Yishai,Cannane,Finance
10281,Moty,Kusakari,Quality Management
10282,Hercules,Benzmuller,Production
10283,Kauko,Birjandi,Development
10284,Masali,Murrill,Production
10295,Kristine,Velardi,Finance
10298,Dietrich,DuCasse,Research
10298,Dietrich,DuCasse,Production
10306,Heng,Kilgour,Sales
10307,Nikolaos,Leaver,Production
10307,Nikolaos,Leaver,Quality Management
10322,Isamu,Dahlbom,Development
10325,Arunachalam,Badr,Human Resources
10326,Masali,Czap,Research
10328,Serenella,Kawashima,Development
10333,Snehasis,Dymetman,Development
10340,Djelloul,Laventhal,Marketing
10343,Dinah,Syrzycki,Quality Management
10347,Pradeep,Kaminger,Research
10349,Oksana,Brodie,Customer Service
10353,Phule,Hammerschmidt,Marketing
10355,Satyanarayana,Cochrane,Sales
10356,Vasilis,Standera,Research
10358,Qunsheng,Tagansky,Development
10364,Nakhoon,Dengi,Production
10367,Hyuckchul,Gini,Marketing
10372,Anneli,Frijda,Production
10377,Marl,Grospietsch,Production
10387,Parto,Wrigley,Customer Service
10388,Hironoby,Kaiser,Sales
10389,Make,Peir,Development
10396,Sibyl,Rahier,Development
10397,Irena,Reutenauer,Production
10402,Volkmar,Ebeling,Quality Management
10404,Prodip,Rosti,Development
10407,Ulf,Siepmann,Sales
10413,Danel,Impagliazzo,Human Resources
10418,Candida,Porotnikoff,Marketing
10422,Greger,Rubsam,Quality Management
10422,Greger,Rubsam,Production
10426,Arunas,Luce,Development
10429,Martien,Improta,Development
10432,Hisao,Tiemann,Customer Service
10433,Reuven,Dengi,Quality Management
10451,Bodh,Ranta,Production
10453,Tsvetan,Matzel,Customer Service
10463,Ung,Zaiane,Sales
10477,Guoxiang,Trogemann,Development
10486,Amstein,Kossowski,Quality Management
10494,Yakkov,Servieres,Production
10497,Pramod,Rabehasaina,Production
10499,Maik,Luft,Marketing
10499,Maik,Luft,Sales
10503,Dannz,Pell,Production
10504,Xiong,Varker,Sales
10509,Abdelwaheb,Riesenhuber,Sales
10512,Udi,Gihr,Human Resources
10517,Tiina,Speek,Sales
10522,Marke,Cesareni,Human Resources
10529,Ymte,Yetto,Development
10529,Ymte,Yetto,Production
10531,Oguz,Gimbel,Human Resources
10542,Yannis,Couchot,Development
10548,Ramalingam,Gunderson,Marketing
10548,Ramalingam,Gunderson,Sales
10552,Kazuhito,Shiratori,Production
10564,Jianhao,Thisen,Production
10568,Gao,Poulakidas,Sales
10586,Kirk,Vuskovic,Production
10593,Falguni,Kenevan,Production
10593,Falguni,Kenevan,Development
10596,Sanjit,Coors,Sales
10603,Wayne,Restivo,Sales
10610,Irena,Roccetti,Development
10614,Gila,Ozeri,Customer Service
10614,Gila,Ozeri,Production
10615,Keung,Delgrande,Finance
10623,Aleksander,Danlos,Development
10623,Aleksander,Danlos,Research
10624,Sham,Gyorkos,Production
10628,Krisda,Krogh,Development
10630,Bezalel,Katzenelson,Production
10631,Inderjeet,Chaudhuri,Development
10634,Nahid,Chepyzhov,Development
10634,Nahid,Chepyzhov,Research
10636,Saeko,Porotnikoff,Human Resources
10639,Pramod,Erol,Development
10641,Guozhong,Zucker,Development
10642,Hirochika,Narlikar,Development
10653,Otmar,Feinberg,Development
10667,Makato,Cusworth,Customer Service
10671,Parviz,Rebaine,Human Resources
10676,Valeri,Danley,Development
10683,Guiseppe,Stranks,Production
10693,Berhard,Daescu,Customer Service
10696,Unal,Fendler,Development
10702,Bader,Szemeredi,Development
10712,Uma,Koprowski,Development
10718,Adib,Rullman,Development
10726,Zita,Minakawa,Development
10734,Sachar,Erdi,Production
10741,Sven,Huttel,Marketing
10742,Shim,Wiegley,Development
10745,Poorav,Ranze,Production
10749,King,Brendel,Production
10750,Roddy,Demeyer,Development
10764,Yunming,Beetstra,Development
10767,Monique,Doering,Sales
