emp_no,first_name,last_name,title,dept_name
10095,Hilari,Morton,Senior Staff,Sales
10122,Ohad,Esposito,Technique Leader,Development
10291,Dipayan,Seghrouchni,Staff,Sales
10476,Kokou,Iisaka,Staff,Research
10663,Teunis,Noriega,Technique Leader,Production
10663,Teunis,Noriega,Technique Leader,Development
10762,Lech,Himler,Staff,Research
10933,Juyoung,Seghrouchni,Senior Engineer,Production
12155,Keiichiro,Glinert,Engineer,Production
12408,Rasiah,Sudkamp,Senior Engineer,Development
12643,Morrie,Schurmann,Staff,Finance
13499,Kazuhiko,Sidou,Technique Leader,Production
14075,Denny,Tchuente,Assistant Engineer,Development
14104,Sudhanshu,Demian,Senior Staff,Human Resources
14127,Magdalena,Cannard,Senior Engineer,Production
14158,Caolyn,Setiz,Senior Staff,Sales
14476,Sastry,Marrevee,Engineer,Production
14907,Nakhoon,Luga,Senior Staff,Sales
15050,Nikolaos,Kruskal,Engineer,Production
15058,Bouchung,Bugrara,Senior Staff,Finance
15413,Arvin,Rabejac,Engineer,Development
16461,Remmert,Schahn,Senior Staff,Sales
16528,Gaurav,Swick,Engineer,Production
17013,Morris,Garigliano,Senior Staff,Finance
17206,Berry,DeMori,Engineer,Production
17369,Yaghout,Kenevan,Engineer,Production
17369,Yaghout,Kenevan,Engineer,Development
17447,Zengping,Boreale,Staff,Sales
17731,Gennady,Roison,Assistant Engineer,Development
17970,Filipp,Carrere,Technique Leader,Production
17988,Mabhin,Calkin,Engineer,Production
18021,Adil,Matzke,Engineer,Development
18424,Filipp,Rousseau,Engineer,Development
18583,Stafford,Honglei,Staff,Customer Service
18617,Surveyors,Crouzet,Senior Staff,Human Resources
18810,Taiji,Jarecki,Engineer,Development
19236,Elzbieta,Morris,Engineer,Production
19350,Satoru,Yoshizawa,Senior Staff,Customer Service
19803,Ziva,Kowalchuk,Engineer,Development
20100,Utz,Heuter,Senior Staff,Marketing
20128,Kazunori,Peak,Senior Staff,Customer Service
20129,Rafael,Skafidas,Engineer,Production
20248,Vidar,Demri,Staff,Customer Service
20313,Candida,Benveniste,Engineer,Production
20500,Christoph,Trystram,Senior Staff,Customer Service
20885,Otmar,Rothenberg,Senior Engineer,Production
21181,Jianhui,Cangellaris,Assistant Engineer,Production
21188,Piyush,Danecki,Engineer,Development
21546,Yongmin,Lanteri,Senior Staff,Marketing
21546,Yongmin,Lanteri,Senior Staff,Sales
21843,Karsten,Azadmanesh,Senior Engineer,Development
21909,Mohammed,Brizzi,Staff,Sales
22185,Huai,Birch,Engineer,Production
22185,Huai,Birch,Engineer,Development
22415,Perla,Jumpertz,Senior Staff,Sales
22451,Jasminko,Bresenham,Senior Staff,Development
22451,Jasminko,Bresenham,Senior Staff,Research
22455,Barry,Unno,Senior Staff,Marketing
22926,Manibrata,Genther,Senior Engineer,Production
23396,Hilari,Fairtlough,Technique Leader,Production
24080,Jaana,Perez,Technique Leader,Development
